date,prices_M0,prices_M1,prices_M2,prices_M3,prices_M4,prices_M5,prices_M6,prices_M7,prices_M8,prices_M9,prices_M10,spreads_M0,spreads_M1,spreads_M2,spreads_M3,spreads_M4,spreads_M5,spreads_M6,spreads_M7,spreads_M8,spreads_M9,spreads_M10,oi_M0,oi_M1,oi_M2,oi_M3,oi_M4,oi_M5,oi_M6,oi_M7,oi_M8,oi_M9,oi_M10,volume_M0,volume_M1,volume_M2,volume_M3,volume_M4,volume_M5,volume_M6,volume_M7,volume_M8,volume_M9,volume_M10,label_M0,label_M1,label_M2,label_M3,label_M4,label_M5,label_M6,label_M7,label_M8,label_M9,label_M10
2021-10-13,80.44,79.82,79.12,78.38,77.71,77.07,76.46,75.86,75.23,73.94,,0.0,-0.6200000000000045,-1.3199999999999932,-2.0600000000000023,-2.730000000000004,-3.3700000000000045,-3.980000000000004,-4.579999999999998,-5.209999999999994,-6.5,,171311.0,430140.0,264966.0,90701.0,141276.0,61560.0,54923.0,180613.0,53003.0,71982.0,,487220.0,304956.0,100867.0,33443.0,38426.0,18288.0,11788.0,29947.0,8652.0,5964.0,,X,Z,F,G,H,J,K,M,N,U,None
2021-10-14,81.31,80.77,80.05,79.27,78.53,77.83,77.16,76.51,75.85,74.5,,0.0,-0.5400000000000063,-1.2600000000000051,-2.0400000000000063,-2.780000000000001,-3.480000000000004,-4.150000000000006,-4.799999999999997,-5.460000000000008,-6.810000000000002,,131989.0,451310.0,272052.0,90948.0,141355.0,63489.0,53429.0,180469.0,54496.0,72611.0,,399813.0,300565.0,108436.0,43912.0,40659.0,14769.0,8435.0,34392.0,6778.0,8807.0,,X,Z,F,G,H,J,K,M,N,U,None
2021-10-15,82.28,81.73,80.88,79.97,79.13,78.35,77.63,76.93,76.22,74.79,,0.0,-0.5499999999999972,-1.4000000000000057,-2.3100000000000023,-3.1500000000000057,-3.930000000000007,-4.650000000000006,-5.349999999999994,-6.060000000000002,-7.489999999999995,,91213.0,465906.0,284627.0,95445.0,140540.0,63017.0,52631.0,177157.0,56803.0,73064.0,,277953.0,284728.0,108374.0,45254.0,46111.0,18229.0,10154.0,42439.0,7775.0,8883.0,,X,Z,F,G,H,J,K,M,N,U,None
2021-10-18,81.69,80.74,79.76,78.86,78.05,77.31,76.61,75.88,74.45,73.09,,0.0,-0.9500000000000028,-1.9299999999999926,-2.8299999999999983,-3.6400000000000006,-4.3799999999999955,-5.079999999999998,-5.810000000000002,-7.239999999999995,-8.599999999999994,,481018.0,291128.0,91905.0,139456.0,64164.0,53687.0,175590.0,59291.0,71279.0,43647.0,,501073.0,157220.0,56955.0,61248.0,25794.0,14563.0,59150.0,11355.0,21256.0,1609.0,,Z,F,G,H,J,K,M,N,U,X,None
2021-10-19,82.44,81.5,80.45,79.46,78.57,77.77,77.02,76.26,74.79,73.4,,0.0,-0.9399999999999977,-1.9899999999999949,-2.980000000000004,-3.8700000000000045,-4.670000000000002,-5.420000000000002,-6.179999999999993,-7.6499999999999915,-9.039999999999992,,482107.0,293274.0,87806.0,136584.0,64821.0,54253.0,177197.0,60657.0,72217.0,43621.0,,531465.0,188311.0,73032.0,65113.0,27525.0,14422.0,48200.0,6111.0,11628.0,1211.0,,Z,F,G,H,J,K,M,N,U,X,None
2021-10-20,83.42,82.38,81.29,80.3,79.4,78.58,77.83,77.07,75.59,74.22,,0.0,-1.0400000000000063,-2.1299999999999955,-3.1200000000000045,-4.019999999999996,-4.840000000000003,-5.590000000000003,-6.3500000000000085,-7.829999999999998,-9.200000000000003,,483475.0,306349.0,88826.0,136814.0,64669.0,54289.0,177801.0,61064.0,72512.0,43578.0,,530693.0,178419.0,77444.0,51911.0,24047.0,15835.0,45638.0,8375.0,8368.0,750.0,,Z,F,G,H,J,K,M,N,U,X,None
2021-10-21,82.5,81.36,80.13,79.02,78.04,77.18,76.38,75.6,74.14,,,0.0,-1.1400000000000006,-2.3700000000000045,-3.480000000000004,-4.459999999999994,-5.319999999999993,-6.1200000000000045,-6.900000000000006,-8.36,,,453545.0,306825.0,90152.0,128821.0,67999.0,56094.0,171367.0,63926.0,73843.0,,,567503.0,169879.0,81947.0,83265.0,31702.0,21941.0,65391.0,13266.0,11784.0,,,Z,F,G,H,J,K,M,N,U,None,None
2021-10-22,83.76,82.5,80.98,79.62,78.42,77.37,76.44,75.58,74.03,,,0.0,-1.2600000000000051,-2.780000000000001,-4.140000000000001,-5.340000000000003,-6.390000000000001,-7.320000000000007,-8.180000000000007,-9.730000000000004,,,434946.0,322578.0,91005.0,126037.0,75476.0,55696.0,155323.0,72608.0,72831.0,,,465355.0,173247.0,101506.0,105972.0,63226.0,40626.0,98033.0,35095.0,29332.0,,,Z,F,G,H,J,K,M,N,U,None,None
2021-10-25,83.76,82.61,81.21,79.95,78.82,77.83,76.95,76.12,74.64,,,0.0,-1.1500000000000057,-2.5500000000000114,-3.8100000000000023,-4.940000000000012,-5.930000000000007,-6.810000000000002,-7.640000000000001,-9.120000000000005,,,415566.0,314007.0,94743.0,122930.0,75467.0,58284.0,154715.0,71217.0,70508.0,,,568725.0,255201.0,142827.0,118907.0,70187.0,41887.0,93061.0,23431.0,28073.0,,,Z,F,G,H,J,K,M,N,U,None,None
2021-10-26,84.65,83.36,81.89,80.56,79.39,78.36,77.42,76.57,75.03,,,0.0,-1.2900000000000063,-2.760000000000005,-4.090000000000003,-5.260000000000005,-6.290000000000006,-7.230000000000004,-8.080000000000013,-9.620000000000005,,,404651.0,297025.0,101980.0,126954.0,75063.0,56705.0,156932.0,69808.0,70939.0,,,467716.0,171174.0,77409.0,48960.0,30284.0,21319.0,55628.0,16515.0,11522.0,,,Z,F,G,H,J,K,M,N,U,None,None
